char,division,code,orig_simp,acewho_simp,pinyin
出,屮凵,aau,a,aa,chū
糾,糹丩,aau,,,jiū
艸,屮屮,aau,,,cǎo
𠙸,,aaui,,,
𪅩,,aaui,,,
𠫯,,aaui,,,
𦷻,,aaul,,,
𧂥,,aaum,,,
𩿩,,aaun,,,
𪆓,,aaun,,,
鷥,糹糸鳥,aaun,,,sī
凼,水凵,aaus,,,dàng
縿,糹厶人彡,aaus,,,shān
𥜺,,aaut,,,
𦯦,,aauv,,,
𪍾,,aauv,,,
𥺋,,aaux,,,
𪀨,,aauy,,,
𩴆,,aauy,,,
𩴪,,aauy,,,
幾,幺幺人,aauy,,,jī·jǐ
絲,糹糸,aav,,,sī
㓄,厶厶儿,aavi,,,zhèn
𥜷,,aavi,,,
𠬓,,aavi,,,
𨥣,,aavi,,,
𠬙,,aavi,,,
𰼫,,aavi,,,
骏,马厶夂,aavm,,,jùn
𣹳,,aavs,,,
𨰱,,aavs,,,
𨭔,,aavv,,,
𦀷,,aavv,,,
𥚢,,aawf,,,
叅,厶厶丶,aawi,,,cān·shēn·cēn·sān
𢄆,,aawm,,,
𱅂,,aawm,,,
𰀬,,aawn,,,
𪞹,,aawr,,,
級,糹乃丶,aawu,aaw,aaw,jí
𠤉,,aawy,,,
𮈟,,aaxm,,,
粜,屮凵米,aaxm,aax,aax,tiào
𭃀,,aaxr,,,
𥽀,,aaxt,,,
𢇈,,aaxy,,,
𡴁,,aay,,,
𦱺,,aayc,,,
𩕵,,aayg,,,
𰄘,,aayh,,,
𢾍,,aayl,,,
𢾕,,aayp,,,
芳,,aayu,,,
𥫋,,aayy,,,
𢆶,,aayy,,,
𨒞,,aazd,,,
𨒽,,aazd,,,
𨖾,,aazd,,,
𨒴,,aazi,,,
𨗘,,aazi,,,
遪,厶厶辶,aazi,,,cà
𨓁,,aazy,,,
𨕧,,aazy,,,
𨗂,,aazy,,,
𨗙,,aazy,,,
𠨞,,abaa,,,
𫘧,,abam,,,
𮈡,,abas,,,
緑,糹彐氺,abas,,aba,lǜ·lù
𮉉,,abaz,,,
𩨃,,abbm,,,
𠫜,,abci,,,
𱅨,,abcm,,,
𬗆,,abcu,,,
骎,马彐又,abdm,abd,abd,qīn
𭷆,,abdp,,,
𦛫,,abds,,,
䊶,糹也,abe,,,zhèn
驰,马也,abem,abe,abe,chí
䋪,糹阝丁口,abeo,,,
𤕮,,abep,,,
𦂹,,abf,,,
𦂩,,abfb,,,
𦀨,,abfb,,,
䋖,糹彐キ,abfu,,,yù
𰫤,,abg,,,
𫃱,,abga,,,
𥿆,,abgo,,,
𥾌,,abgu,,,
𡳿,,abgu,,,
𬘂,,abgy,,,
𢆵,,abgy,,,
𰏰,,abgy,,,
𱅟,,abim,,,
䋴,糹矛木,abiv,,,niù·rǒng·róu·rǔ
𢇉,,abiy,,,
𮉂,,abkg,,,
繣,糹彐田一,abkg,abk,abk,huà
𫲬,,abkn,,,
𥾇,,abl,,,
𦄦,,abll,,,
縃,糹乛龰月,abls,abl,abl,xū
𤴗,,ablu,,,
𥿇,,ablu,,,
𢆳,,ably,,,
𢆴,,ably,,,
䋒,糹矛,abm,,,
𦃌,,abmd,,,
𥁱,,abmi,,,
𦁧,,abmm,,,
𦇹,,aboa,,,
𦄄,,abob,,,
𦅀,,aboi,,,
𱅫,,abom,,,
𦀲,,abpo,,,
𰫝,,abpu,,,
綅,糹彐冖又,abqd,abq,abq,qīn·xiān
𦅛,,abqi,,,
𫃲,,abqm,,,
𦁣,,abrg,,,
𫹹,,abri,,,
縁,糹彐{豕下},abru,abr,abr,yuán
𫃯,,absk,,,
𬗷,,abta,,,
繡,糹彐片爿,abta,,,xiù
骕,马彐{介下},abtm,abt,abt,sù
繘,糹矛八口,abto,,,jú·jué·yù
𭙈,,abuy,,,
幻,幺𠃌,abuy,ab,ab,huàn
𮈂,,abv,,,
𦅭,,abxr,,,
繍,糹彐米{介下},abxt,abx,abx,xiù
紓,糹予,aby,,,shū
𬨚,,abyi,,,
沀,水予,abys,,,xù
𰫙,,abz,,,
𦄁,,abzd,,,
孕,乃子,abzn,abz,abz,yùn
𨓎,,abzs,,,
孧,幺力子,acby,,,yòu·niū
𩨐,,accm,,,
𥾆,,accu,,,
𥾆,,accu,,,
𭑵,,accy,,,
𭄹,,accy,,,
𢇔,,accy,,,
𫃩,,acde,,,
𦄻,,acen,,,
綠,,acga,,,
綠,糹{互中}一氺,acga,,,lǜ
𫨧,,acgi,,,
緇,,acgk,,,
緣,糹{互中}豕,acgs,acg,acg,yuán
𩑴,,acgy,,,
𦁿,,acjg,,,
𭎍,,acjy,,,
繅,糹巛日木,acki,ack,ack,sāo
𪺟,,ackp,,,
緇,糹巛田,ackt,,,zī
𭥝,,ackv,,,
𠠳,,acl,,,
糼,糹力,acl,,,gōng
𠛏,,acli,,,
𢆲,,acly,,,
𭭠,,acly,,,
幼,幺力,acly,ac,ac,yòu
𡴋,,acm,,,
𡴋,,acm,,,
𭯇,,acmi,,,
𣳗,,acms,,,
𥁒,,acmy,,,
𮈸,,acnb,,,
𮈲,,acnb,,,
𦃽,,acod,,,
𫨪,,acoi,,,
𬌊,,acop,,,
𦀌,,acov,,,
𣲦,,acps,,,
紗,糹小丿,acpu,acp,acp,shā
𢆷,,acpy,,,
𦈄,,acqa,,,
𣣜,,acqq,,,
𣢢,,acqy,,,
𣢜,,acqy,,,
𱉢,,acsy,,,
𭆣,,acti,,,
䌦,糹羽隹,actw,,,dǎo·dào
𡳾,,acu,,,
糺,糹乚,acu,,,jiū·jiǔ
䌌,糹羽白,acub,,,qì·qiè·qǔ
繅,,acui,,,
𠫖,,acui,,,
𱅩,,acum,,,
𢀐,,acuq,,,
繆,糹羽人彡,acus,,,móu·miù·miào·mù·liǎo
乣,幺乚,acuy,,,jiǔ
鴢,幺力鳥,acuy,,,yāo·yòu
𭑩,,acvn,,,
妝,爿女,acvp,,acv,zhuāng
𥾗,,acx,,,
厼,厶小,acxi,,,keum
𡭘,,acxn,,,
尕,乃小,acxn,acx,acx,gǎ
䋚,糹羽,acy,,,yì
𦆻,,aczc,,,
𫷤,,aczy,,,
𦁐,,adaa,,,
𮈢,,adac,,,
紭,糹弓厶,adai,,,hóng
䌂,糹尸厶土,adaj,,,òu
繈,糹弓厶虫,adal,ada,ada,qiǎng
紦,糹巴,adb,,,hā
骣,马尸子,adbm,,,chǎn
𤔷,,adbn,,,
𨜏,,adbn,,,
𦀯,,adbo,,,
𣲯,,adbs,,,
𫲣,,adby,,,
𠚨,,add,,,
糿,糹刀,add,,,gōng·yòu
絕,糹刀巴,addb,add,add,jué
𥾞,,addd,,,
𦀁,,addd,,,
綴,糹又又又,addd,,,zhuì·chuò
縀,糹尸コ又,addd,,,xié·xiá
𥿲,,adde,,,
𰆼,,adde,,,
縔,糹又又木,addi,,,shuǎng
𢂭,,addm,,,
𢂟,,addm,,,
𱅞,,addm,,,
𥾤,,addo,,,
𥿷,,addp,,,
𤕱,,addp,,,
𰠏,,addp,,,
𥿓,,addu,,,
㓜,幺刀,addy,,,yòu
紐,,adee,,,
𭆡,,adei,,,
𫟁,,adeq,,,
紐,糹コ十,adeu,ade,ade,niǔ
𦃴,,adfk,,,
緡,糹巳七日,adfk,,,mín
𩨍,,adfm,,,
驿,马又キ,adfm,adf,adf,yì
骙,马癶天,adfm,,,kuí
戤,乃又戈,adfn,,,gài
䋋,糹巳七,adfq,,,mín
𮉙,,adfz,,,
𥾏,,adg,,,
𡲡,,adgc,,,
繏,糹巳龷八,adht,,adh,xuàn
紀,,adi,,,
𤖒,,adip,,,
𢀟,,adiy,,,
𢇀,,adiy,,,
紀,糹己,adj,,,jì
𦇯,,adje,,,
䋧,糹尸古,adjg,,,qú
𦄥,,adjr,,,
経,糹又土,adjv,,,jīng
𭨐,,adki,,,
𦇤,,adkk,,,
𥾯,,adku,,,
紖,糹弓丨,adku,adk,adk,zhèn
𦅉,,adlm,,,
骚,马又虫,adlm,adl,adl,sāo·sǎo
𤖗,,adlp,,,
盈,乃又皿,admn,ad,ad,yíng
𦂷,,adnq,,,
𡲂,,adnq,,,
𫃷,,adnv,,,
𠬢,,ado,,,
𠬞,,ado,,,
収,丩又,ado,,,shōu
𬗞,,adoa,,,
𫄎,,adoc,,,
𠬝,,adoe,,,
繦,糹弓口虫,adol,,,qiǎng
𩧺,,adom,,,
驭,马又,adom,ado,ado,yù
夃,乃又,adon,,,gǔ·yíng
𤕭,,adop,,,
㸛,爿刀口,adop,,,sháo·shuò
𰫣,,adov,,,
紹,糹刀口,adov,,,shào
䌟,糹尸口辛,adoy,,,bì·bó
紴,糹皮,adp,,,bō·bì
𥜄,,adpf,,,
𫘟,,adpm,,,
𭷘,,adpn,,,
𦀻,,adpp,,,
綛,糹刀丿心,adpr,,,rěn
紉,糹刀丿,adpu,,adp,rèn
𦀿,,adrm,,,
𣳣,,adrs,,,
䋟,糹己心,adrx,,,jì
䌵,糹尸勹虫,adsl,,,zhú·zhǔ
𰛼,,adss,,,
𬗝,,adsy,,,
𦄷,,adsz,,,
𦄪,,adte,,,
𥾠,,adtu,,,
紼,糹弓{介下},adtu,adt,adt,fú
𦇗,,adtz,,,
𫘝,,adum,,,
䊽,糹コ人,aduu,,,guài·jué
𡰮,,adv,,,
𥿡,,advi,,,
𦂋,,advi,,,
緯,糹韋,adw,,,wěi
𬻲,,adwu,,,
䋇,糹尸丶,adwu,,,
紁,糹又丶,adwu,,,chà·chǎ
𫄄,,adxc,,,
𦂤,,adxh,,,
𤖟,,adyp,,,
𦃘,,adyx,,,
𦆣,,adyz,,,
𮉏,,adzd,,,
𦃐,,adzl,,,
𬨸,,adzn,,,
⼙,,ae,,,
𰆊,,ae,,,
卩,卩,ae,,,jié
紜,糹二厶,aeai,,,yún
縤,糹龶糸,aeav,aea,aea,sù
𢆹,,aeay,,,
𦂿,,aebc,,,
緀,糹十彐女,aebc,aeb,aeb,qī
𱅓,,aebm,,,
𦂪,,aecl,,,
𱅜,,aecm,,,
䊺,糹二{互中},aecu,,,gǔ·hù
䌁,,aecv,,,
䌁,糹覀女,aecv,,,yāo
糽,糹丁,aed,,,zhēng·zhěng
𦇉,,aedd,,,
𥾣,,aedo,,,
𣲰,,aeds,,,
𭙊,,aedy,,,
䋠,糹甫,aef,,,bǔ
𦆝,,aefi,,,
𫄇,,aefj,,,
骠,马覀示,aefm,ae,ae,piào·biāo
縹,糹覀示,aefs,aef,aef,piǎo·piāo
𦅞,,aefw,,,
𥾍,,aeg,,,
𫘛,,aegm,,,
𮨋,,aegy,,,
𬌑,,aehp,,,
𦈃,,aehr,,,
𮈦,,aehv,,,
縛,糹甫寸,aeic,aei,aei,fù
𬴎,,aeim,,,
𭬏,,aeiv,,,
𦃊,,aeiv,,,
𩧾,,aejm,,,
𤝶,,aejq,,,
緸,糹覀土,aejv,aej,aej,yīn
𩨁,,aekm,,,
𱅪,,aekm,,,
絙,糹二日,aekv,aek,aek,huán·gēng
𦅰,,aekz,,,
纎,糹十非一,aelg,,,xiān
𫠌,,aelm,,,
𢼟,,aelp,,,
繊,糹十〢䒑,aelx,ael,ael,xiān
𦄀,,aem,,,
𱄑,,aem,,,
𦀞,,aemd,,,
𤖙,,aemp,,,
𨡰,,aemp,,,
𩡽,,aemp,,,
𬘃,,aena,,,
績,糹龶貝,aenb,aen,aen,jì·jī
𤖓,,aenp,,,
𤖘,,aenp,,,
縝,糹十且八,aent,,,zhěn
𦅇,,aeof,,,
𦧐,,aeoi,,,
牁,爿丁口,aeop,,aeo,kē·gē
䋍,糹丁口,aeov,,,
䌇,糹十冖糸,aeqa,,,suǒ·huì
綍,糹十冖子,aeqb,aeq,aeq,fú
𣢫,,aeqq,,,
𬴋,,aerm,,,
𦆄,,aerp,,,
𬗠,,aeru,,,
縥,糹𡗗禾,aerv,,,zhěn
𢙌,,aerx,,,
絚,糹二{炙上},aesu,,,gēng
綪,糹龶月,aesv,aes,aes,qiàn·qīng·zhēng
𨔲,,aesz,,,
𨾰,,aeti,,,
𩨋,,aetm,,,
𮈈,,aetu,,,
𥾅,,aeu,,,
𠫘,,aeui,,,
𦆋,,aeun,,,
𰅮,,aeun,,,
𡉚,,aev,,,
𥿁,,aev,,,
㞷,屮王,aev,,,huáng
𦂬,,aevc,,,
𬗈,,aewu,,,
絤,糹西,aex,,,xiàn
䋻,糹十䒑十,aexe,,,nín
𮈺,,aexi,,,
𬳴,,aexm,,,
䌚,糹覀米,aexm,,,sù·sū
𧡠,,aexn,,,
綇,糹酉,aey,,,xū·xiǔ
𦇁,,aeyp,,,
𦇸,,aeyp,,,
𨟻,,aeyp,,,
𨠆,,aeys,,,
𦁢,,aez,,,
发,发,af,,af,fā·fà
𫵮,,afaf,,,
𠫻,,afai,,,
𭆞,,afai,,,
𢲝,,afar,,,
純,糹七凵,afau,afa,afa,chún
𡴞,,afav,,,
𫃪,,afaz,,,
絾,糹戊𠃌,afbu,afb,afb,chéng
𨚦,,afbv,,,
𥾙,,afbw,,,
𠫭,,afci,,,
𡜀,,afci,,,
𫦺,,afci,,,
𬴉,,afcm,,,
𬴈,,afcm,,,
𥾱,,afcu,,,
䋐,糹戈乚,afcu,,,yuè
䋬,糹天小丶,afcw,,,tiān
𡗖,,afd,,,
𥾛,,afdd,,,
𦀊,,afdg,,,
𦂘,,afdi,,,
䌑,糹臣又土,afdj,,,jiān
𱅃,,afdm,,,
驮,马大,afdm,afd,afd,tuó·duò
䋌,糹匚コ,afdu,,,jiǎng
𡗞,,afdy,,,
䋗,糹臣,afe,,,
𨠒,,afei,,,
𬳻,,afem,,,
綺,糹大丁口,afeo,,afe,qǐ
𦄤,,affe,,,
𡘶,,affe,,,
綫,糹戈戈,affg,,aff,xiàn
𫐊,,affi,,,
𤖋,,affp,,,
𤖆,,affp,,,
𤖔,,affp,,,
𥾮,,afg,,,
縅,糹戊一女,afgc,,,wēi
𰆮,,afgi,,,
絝,糹大一丂,afgj,,,kù
𰫵,,afgk,,,
骁,马七兀,afgm,afg,afg,xiāo
緘,糹戊一口,afgo,,,jiān
戕,爿戈,afgp,,,qiāng
𦄅,,afgx,,,
𮪢,,afhm,,,
𩧼,,afhm,,,
𱅉,,afhm,,,
絨,糹戈𠂇,afhu,afh,afh,róng
𬗕,,afhv,,,
𥾐,,afi,,,
𥿮,,afig,,,
𠫽,,afii,,,
叁,厶大三,afii,afi,afi,sān
𢍿,,afip,,,
𥿴,,afiv,,,
𡊄,,afji,,,
軬,厶大車,afji,afj,afj,fàn·bèn
𦅁,,afjk,,,
𬳹,,afjm,,,
𦄃,,afjo,,,
𮈧,,afkc,,,
繚,糹大日小,afkc,,,liáo
𦁏,,afkd,,,
𤲙,,afki,,,
𡘞,,afki,,,
奙,厶大电,afki,,,běn
畚,厶大田,afki,afk,afk,běn
𮈃,,afku,,,
𦆖,,afkx,,,
縬,糹戊上小,aflc,,,cù
𦃄,,aflf,,,
𫊲,,afli,,,
𦄹,,aflk,,,
𬱬,,afmi,,,
纜,糹臣罒見,afmn,,,lǎn
𬗘,,afmx,,,
𥃊,,afmy,,,
𥃎,,afmy,,,
貵,厶大貝,afni,,,piǎn
緎,糹戈口一,afog,,,yù
𦇰,,afol,,,
骑,马大口,afom,afo,afo,qí
𦆠,,afon,,,
䌔,糹匚口吅,afoo,,,òu
𫻶,,afop,,,
𦆃,,afoq,,,
𫄅,,afor,,,
𢇎,,afoy,,,
𦁨,,afoz,,,
𦃷,,afph,,,
繿,糹臣𠂉皿,afpm,afp,afp,lán
䌫,糹臣𠂉見,afpn,,,lǎn
䋾,糹大夕夕,afqq,,,zhǎ·nà
𣮟,,afri,,,
毵,厶大毛,afri,afr,afr,sān
𬗗,,afrj,,,
𦄒,,afrm,,,
𦁔,,afrx,,,
𤳼,,afsi,,,
参,厶大彡,afsi,afs,afs,cān·shēn·cēn·sān
𫤯,,afti,,,
𠫿,,afti,,,
𫘭,,aftm,,,
驱,马匚乂,aftm,aft,aft,qū
𦄍,,aftt,,,
𦃶,,aftw,,,
𡴀,,afu,,,
𦇦,,afug,,,
𪠡,,afui,,,
𠫚,,afui,,,
綊,糹大人人,afuu,afu,afu,xié
𰒨,,afuy,,,
𫃸,,afvc,,,
𪠟,,afvi,,,
𬗇,,afw,,,
𡴔,,afwd,,,
𠫵,,afwi,,,
𱅍,,afwm,,,
𭷂,,afwp,,,
𦁑,,afxe,,,
𬌄,,afxp,,,
𦂡,,afxy,,,
𬇜,,afzs,,,
𠫛,,agai,,,
絰,糹一厶土,agaj,aga,aga,dié
𦂥,,agas,,,
𣸐,,agas,,,
紑,糹不,agb,,,fóu
緁,糹一彐龰,agbl,,,jī·jié
𠂏,,agbn,,,
𮉓,,agbz,,,
𠨲,,agc,,,
經,糹一巛工,agci,agc,agc,jīng
𫘪,,agcm,,,
𬈛,,agcs,,,
𥾬,,agcu,,,
𥾳,,agcv,,,
妛,屮一女,agcv,,,chī
𦐉,,agcy,,,
𥀡,,agdi,,,
𦀡,,agdo,,,
𥾵,,agdo,,,
𰆲,,agdo,,,
𥿶,,age,,,
𬗃,,aged,,,
𫮸,,agej,,,
緛,糹而大,agfd,agf,agf,ruǎn·ruàn
𩧩,,agfm,,,
𤖤,,agfp,,,
𡴒,,agga,,,
𦅏,,agge,,,
𦇒,,aggg,,,
𮈥,,aggl,,,
𬳵,,aggm,,,
𮨡,,aggs,,,
䋔,糹不一,aggu,,,bì
𭆚,,aghi,,,
𥾦,,aghj,,,
𦆨,,aghk,,,
𫃫,,aghv,,,
縟,糹辰寸,agic,,,rù
𥾒,,agiu,,,
紆,糹一{于下},agiu,,agi,yū
𦁩,,agjj,,,
𦆑,,agjj,,,
𦇢,,agjk,,,
䊸,糹一丂,agjk,,,
𫘠,,agjm,,,
緻,糹一土攵,agjp,agj,agj,zhì
𦀰,,agjv,,,
𦁆,,agka,,,
緾,糹厂甲二,agke,,,chán
𦅟,,agkm,,,
𩧿,,agkm,,,
𤰫,,agkt,,,
綆,糹一日乂,agkt,agk,agk,gěng
旹,屮一日,agkv,,,shí
絔,糹丆日,agkv,,,bǎi·mò
𦀎,,agld,,,
緬,糹丆〢二,agle,,,miǎn
𤠷,,aglj,,,
𢾫,,agll,,,
𮈤,,aglp,,,
𤖢,,aglp,,,
𣣷,,aglq,,,
𦃾,,agls,,,
蚩,,aglv,,,
蚩,屮一虫,aglv,agl,agl,chī
𦀍,,aglz,,,
𨖀,,aglz,,,
䋊,糹一止,aglz,,,zhēng
𠕓,,agmg,,,
𡴊,,agmg,,,
𮉐,,agmh,,,
𥾧,,agmj,,,
𰫚,,agmj,,,
𦁥,,agml,,,
𫄖,,agmm,,,
𧷷,,agmn,,,
𢄄,,agmn,,,
𦂲,,agmt,,,
黹,,agmt,,,
䋑,糹一冂人,agmu,,,bǐng·liè
𦁄,,agn,,,
𬗟,,agno,,,
𰠓,,agnp,,,
𥄾,,agnv,,,
𠭆,,agod,,,
縳,糹一丄寸,agoi,,ago,zhuàn·juàn
䋹,糹一口田,agok,,,fú·fù
